IAU #	IAU Code	IAU Name
823	FCE	56 Cetids
824	DEX	December Sextantids
825	XIE	xi Eridanids
826	ILI	iota1 Librids
827	NPE	nu Pegasids
828	TPG	31 Pegasids
829	JSP	July 77 Pegasids
830	SCY	63 Cygnids
831	GPG	gamma Pegasids
832	LEP	Leporids
833	KOR	kappa Orionids
834	ACU 	April theta Centaurids 
835	JDP	June delta Pavonids 
836	ABH 	April beta Herculids 
837	CAE	Caelids
838	ODS	October delta Sextantids
839	PSR 	phi Serpentids 
840	TER 	tau4 Eridanids 
841	DHE	delta Herculids
842	CRN	A Carinids
843	DMD	December mu Draconids
844	DTP	December theta Pyxidids
845	OEV	October eta Virginids
846	TSC 	tau Sculptorids
847	BEL	beta Leonids
848	OPE	omicron Perseids
849	SZE	September zeta Eridanids
850	MBA	May beta Aquariids
851	BEC 	beta Carinids
852	AST 	alpha Sculptorids
853	ZPA	zeta Pavonids
854	PCY	psi Cygnids
855	ATD	August tau Draconids
856	EMO	epsilon Monocerotids
857	EVO 	eta Volantids
858	FPB 	February phi Bootids 
859	MTB	March 12 Bootids
860	PAN 	psi Andromedids
861	JXS	June xi1 Sagittariids
862	SSR 	16 Scorpiids 
863	TLR	12 Lacertids
864	JSG	June 66 Pegasids
865	JES	June epsilon Serpentids
866	ECB 	epsilon Coronae Borealids
867	FPE 	52 Pegasids
868	PSQ	psi3 Aquariids
869	UCA 	upsilon1 Cassiopeiids
870	JPG	July eta Pegasids
871	DCD 	delta Cepheids 
872	ETR	epsilon Triangulids
873	OMI	omicron Cetids
874	PXS	September xi Perseids
875	TEI 	tau9 Eridanids 
876	ROR	rho Orionids
877	OHD	omega Hydrids
878	OEA	October epsilon Aurigids
879	ATA	alpha Taurids
880	YDR	Y Draconids
881	TLE	theta Leonids
882	PLE	phi Leonids
883	NMD	November mu Draconids
884	NBP	November beta Pyxidids
885	DEV	December epsilon Virginids
886	ACV	alpha Corvids
887	DZB	December zeta Bootids
888	SCV	6 Corvids
889	YOP	Y Ophiuchids
890	ESU	eta Scutids
891	FSL	February sigma Leonids 
892	MCN	March Centaurids 
893	EOP	eta Ophiuchids 
894	JMD	June mu Draconids
895	OAB	October alpha Comae Berenicids
896	OTA	130 Taurids
897	OUR	October alpha Ursae Minorids 
898	SGP	September gamma Piscids
899	EMC	epsilon Microscopiids
900	BBO	beta Bootids
901	TLC 	34 Lyncids 
902	DCT	delta Cetids
903	OAT 	October alpha Triangulids
904	OCO 	omicron Columbids
905	MXD	March xi Draconids
906	ETD 	eta Draconids
907	MCE	mu Cepheids
908	XXL	xi2 Librids
909	SEC 	September epsilon Columbids
910	BTC	beta2 Cygnids
911	TVU	21 Vulpeculids
912	BCY	beta Cygnids
913	FVI 	41 Virginids 
914	AGE	alpha Geminids
915	DNO	delta Normids
916	ATH	April 21 Herculids
917	OVI	omicron Virginids
918	TAG	theta Aurigids
919	ICN	iota Centaurids
920	XSC	xi Scorpiids 
921	JLC	July gamma Capricornids
922	PPE	August phi Pegasids
923	FBO	15 Bootids 
924	SAN	62 Andromedids
925	EAN	eta Andromedids
926	OMH	October mu Hydrids 
927	AAQ	alpha Aquariids
1032	FEC	February Canis Minorids
1033	OCR	omega Carinids
1034	GPA	gamma Piscis Austrinids
1035	SPH	sigma Phoenicids
1036	CPH	chi Phoenicids
1037	MED	May epsilon Draconids
1038	SND	69 Draconids
1039	FFD	45 Draconids
1040	SPD	September psi1 Draconids
1041	FTD	42 Draconids
1042	SCP	17 Capricornids
1043	OSG	omega Sagittariids
1044	EPU	epsilon Ursae Minorids
1045	SUT	September upsilon Taurids
